Nombre,Categoría,Ciudad,Provincia,Instagram
"La Senderuela - Proaza - Asturias","restaurante","Proaza","Asturias","https://instagram.com/lasenderuelaproaza"
"Restaurante Casa Chema","restaurante","Latores","Asturias","https://instagram.com/restaurante_casa_chema"
"Pizzería Trattoria D'Aldo","restaurante","Gijón","Asturias","https://instagram.com/trattoriadaldo"
"La Candelaria de Mela","restaurante","Langreo","Asturias","https://instagram.com/lacandelariademela"
"La Tabla","restaurante","Gijón","Asturias","https://instagram.com/restaurantelatabla"
"El bucanero","restaurante","Oviedo","Asturias","https://instagram.com/elbucanero.ovd"
"Restaurante Los Agaves","restaurante","Oviedo","Asturias","https://instagram.com/restaurantelosagaves"
"Restaurante La Panoya","restaurante","Oviedo","Asturias","https://instagram.com/mesonlapanoya"
"Narbasu Restaurante y Hotel","restaurante","Cereceda","Asturias","https://instagram.com/narbasu_palacioderubianes"
"Restaurante Gunea","restaurante","Avilés","Asturias","https://instagram.com/gunearestaurante"
"Restaurante Alenda","restaurante","Villaviciosa","Asturias","https://instagram.com/alendarestaurante"
"La Tierra","restaurante","Gijón","Asturias","https://instagram.com/latierragijon"
"Restaurante Tandoori Cocina India en Gijon","restaurante","Gijón","Asturias","https://instagram.com/tandoorigijon"
"Restaurante Alkasbah","restaurante","Avilés","Asturias","https://instagram.com/restaurante_alkasbah"
"Casa Fermín","restaurante","Oviedo","Asturias","https://instagram.com/casafermin"
"Afuego Restaurante","restaurante","Avilés","Asturias","https://instagram.com/afuego_restaurante_aviles"
"Aimé Avilés","restaurante","Avilés","Asturias","https://instagram.com/aime_restaurante"
"Farragua Restaurante","restaurante","Gijón","Asturias","https://instagram.com/farraguarestaurante"
"Cafetería Casa Pastel","bar","Ávila","Ávila","https://instagram.com/casapastel_es"
"La Abuela Reme","hotel","El Fresno","Ávila","https://instagram.com/la_abuela_reme"
"Hotel Rural El Camino","hotel","Candeleda","Ávila","https://instagram.com/hotelruralelcamino"
"Hotel Nabia","hotel","Candeleda","Ávila","https://instagram.com/nabiahotel"
"Caserío Fuentesclaras","hotel","Ávila","Ávila","https://instagram.com/caseriofuentesclaras"
"Hotel-Spa Viña Real","hotel","Arévalo","Ávila","https://instagram.com/hotelspavinareal"
"Restaurante Origen Ávila","restaurante","Ávila","Ávila","https://instagram.com/origen_avila"
"Akla Hotel Badajoz","hotel","Badajoz","Badajoz","https://instagram.com/akla.badajoz"
"El Centenario restaurante y parrillada","restaurante","Almendralejo","Badajoz","https://instagram.com/elcentenarioes"
"Restaurante Agallas Gastro & Food","restaurante","Mérida","Badajoz","https://instagram.com/agallas_merida"
"Taquería del Sur Badajoz","restaurante","Badajoz","Badajoz","https://instagram.com/taqueriadelsurbadajoz"
"Churrería Cafetería Chocolatería Sanchez","restaurante","Mérida","Badajoz","https://instagram.com/glovo_es"
"IRISH PUB PEOPLE","restaurante","Don Benito","Badajoz","https://instagram.com/officialirishpub"
"EL BAR Old School Food","restaurante","Mérida","Badajoz","https://instagram.com/elbar.oldschoolfood"
"Restaurante Lugaris","restaurante","Badajoz","Badajoz","https://instagram.com/javiergarcia68"
"La Casa Del Gofre","restaurante","Badajoz","Badajoz","https://instagram.com/lacasadelgofre"
"Restaurante La Bistrológica","restaurante","Badajoz","Badajoz","https://instagram.com/la_bistrologica"
"Bidaia | Restaurante en Badajoz","restaurante","Badajoz","Badajoz","https://instagram.com/bidaiabadajoz"
"Restaurante Martínez Paiva","restaurante","Almendralejo","Badajoz","https://instagram.com/restaurantemartinezpaiva"
"IKIXAI","restaurante","Mérida","Badajoz","https://instagram.com/whatsapp"
"Asante café Bar","restaurante","Mérida","Badajoz","https://instagram.com/asantecafebar"
"La Mafia se Sienta a la Mesa","restaurante","Almendralejo","Badajoz","https://instagram.com/lamafiarestaurantes"
"Rec Sabadell","bar","Sabadell","Barcelona","https://instagram.com/recbrew"
"Syra Coffee | Sagrada Familia","bar","Barcelona","Barcelona","https://instagram.com/syracoffee"
"La Cherry Coffee Co.","bar","Barcelona","Barcelona","https://instagram.com/lacherry.coffee"
"Syra Coffee - Born","bar","Barcelona","Barcelona","https://instagram.com/syracoffee"
"Cafès Bofarull - Café de Especialidad","bar","Badalona","Barcelona","https://instagram.com/cafesbofarull"
"Número Tres bar","bar","Barcelona","Barcelona","https://instagram.com/numerotres_cocktailbar"
"Noble Barcelona","bar","Barcelona","Barcelona","https://instagram.com/noble_barcelona"
"BAR ROSA BARCELONA","bar","Barcelona","Barcelona","https://instagram.com/rosabarcelona_"
"Café Café Tinto Colombiano","bar","Sabadell","Barcelona","https://instagram.com/cafetintocolombiano"
"News & Coffee","bar","Barcelona","Barcelona","https://instagram.com/newsandcoffee.eu"
"Tingle Authentic","bar","L'Hospitalet de Llobregat","Barcelona","https://instagram.com/tingle.resto"
"Hemingway Gin & Cocktail Bar","bar","Barcelona","Barcelona","https://instagram.com/hemingway_bcn"
